No,PROYECTO,CATEGORIA DE DEPARTAMENTO,CATEGORIA DE MUNICIPIO,REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO,LOCALIDAD/TRONCAL,CANTIDAD,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA DE APROBACION,ESTADO DE LA ZONA,ZONA INAGURADA;
1,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05002,Abejorral,N/A,1,PARQUE PRINCIPAL,500206001,CL. 50 #49-88 (PARQUE PRINCIPAL ABEJORRAL),-75.42688,5.791391,27/04/2017,OPERATIVA,SI;
2,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05004,Abriaquí,N/A,1,PARQUE PRINCIPAL,500406001,CALLE 11 CON LA CARRERA 10,-76.064467,6.631919,02/06/2017,OPERATIVA,SI;
3,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05021,Alejandría,N/A,1,PARQUE PRINCIPAL,520106001,CALLE 20 CON CARRERA 19,-75.1413,6.376899,25/05/2017,OPERATIVA,SI;
4,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05030,Amagá,N/A,1,PARQUE PRINCIPAL,503006001,CALLE 51 CON CARRERA 50,-75.703081,6.040611,02/06/2017,OPERATIVA,SI;
5,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05031,Amalfi,N/A,1,PARQUE PRINCIPAL,503106001,CALLE 20 CON CR 22,-75.075022,6.907188,24/05/2017,OPERATIVA,SI;
6,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05034,Andes,N/A,1,PARQUE PRINCIPAL,503406001,CLL 50 CON 51 (PARQUE PRINCIPAL),-75.87768,5.655592,04/05/2017,OPERATIVA,SI;
7,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05036,Angelópolis,N/A,1,PARQUE PRINCIPAL,503606001,CL. 10 (PARQUE PRINCIPAL ),-75.71028,6.111508,15/05/2017,OPERATIVA,SI;
8,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05038,Angostura,N/A,1,PARQUE PRINCIPAL,503806001,CL. 10 #8A (PARQUE PRINCIPAL,-75.334872,6.88574,24/05/2017,OPERATIVA,SI;
9,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05040,Anorí,N/A,1,PARQUE PRINCIPAL,504006001,CRA. 30 #30-58 (PARQUE PRINCIPAL,-75.145833,7.073743,24/05/2017,OPERATIVA,SI;
10,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05044,Anza,N/A,1,PARQUE PRINCIPAL,504406001,CALLE 10 CON CARRERA 11,-75.853725,6.303461,24/05/2017,OPERATIVA,SI;
11,ZONAS WIFI GRATIS PARA LA GENTE,ESP,3,Region Eje Cafetero - Antioquia,5,Antioquia,05045,Apartadó,N/A,1,SECTOR CIUDADELA EDUCATIVA,504506001,CALLE 98 CON CARRERA 97,-76.629858,7.881105,25/05/2017,OPERATIVA,SI;
12,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05051,Arboletes,N/A,1,PARQUE PRINCIPAL,505106001,CALLE 31 CON CR 31,-76.42725,8.85295,02/06/2017,OPERATIVA,SI;
13,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05055,Argelia,N/A,1,PARQUE PRINCIPAL,505506001,CL. 7 #3-2 (PARQUE PRINCIPAL ARGELIA),-75.14283,5.731127,15/05/2017,OPERATIVA,SI;
14,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05059,Armenia,N/A,1,PARQUE PRINCIPAL,505906001,CL. 10 #9-2 (PARQUE PRINCIPAL ARMENIA),-75.787702,6.156422,24/05/2017,OPERATIVA,SI;
15,ZONAS WIFI GRATIS PARA LA GENTE,ESP,5,Region Eje Cafetero - Antioquia,5,Antioquia,05079,Barbosa,N/A,1,PARQUE PRINCIPAL,507906001,CL. 13 #14 (PARQUE PRINCIPAL BARBOSA),-75.331791,6.437055,04/05/2017,OPERATIVA,SI;
16,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PARQUE SANTANDER CARRERA 50 NO 51 - 00,508801000,PARQUE SANTANDER CARRERA 50 NO 51 - 00,-75.56025,6.339083,19/12/2016,OPERATIVA,SI;
17,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PARQUE LA CHIQUINQUIRA,508806001,AVENIDA 43 CON DIAGONAL 61,-75.549902,6.342916,09/05/2017,OPERATIVA,SI;
18,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,BARRIO PARIS,508806002,CALLE 20F CON CARRERA 78A,-75.582261,6.31323,18/04/2017,OPERATIVA,SI;
19,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PLATEA MARCO FIDEL SUAREZ,508806003,CARRERA 52 CON LA CALLE 53,-75.559652,6.336483,18/04/2017,OPERATIVA,SI;
20,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PARQUE LA MADRE,508806004,CARRERA 46 CON CALLE 50,-75.555102,6.335674,18/04/2017,OPERATIVA,SI;
